date,time,season,league,home_team,away_team,venue,referee,odds_home,odds_draw,odds_away,home_formation,away_formation
2026-05-17,14:30,2025,Eredivisie,AZ,NAC Breda,AFAS Stadion,Edwin Van de Graaf,1.36,5.25,8.00,4-2-3-1,5-3-2
2026-05-17,14:30,2025,Eredivisie,Utrecht,Fortuna Sittard,Stadion Galgenwaard,Ingmar Oostrom,1.48,4.75,6.00,4-2-3-1,4-2-3-1
2026-05-17,14:30,2025,Eredivisie,Volendam,Telstar,Kras Stadion,Marc Nagtegaal,2.70,3.50,2.50,4-3-3,3-4-3
2026-05-17,14:30,2025,Eredivisie,Heracles,Groningen,Asito Stadion,Richard Martens,5.00,4.33,1.60,4-2-3-1,4-2-3-1
2026-05-17,14:30,2025,Eredivisie,NEC,Go Ahead Eagles,Stadion de Goffert,Sander van der Eijk,1.38,5.75,6.50,3-4-2-1,4-2-3-1
2026-05-17,14:30,2025,Eredivisie,PEC Zwolle,Feyenoord,Mac3Park Stadion,Erwin Blank,3.80,4.20,1.80,4-2-3-1,4-2-3-1
2026-05-17,14:30,2025,Eredivisie,PSV,Twente,Philips Stadion,Jeroen Manschot,2.20,4.10,2.75,4-2-3-1,4-2-3-1
2026-05-17,14:30,2025,Eredivisie,Heerenveen,Ajax,Abe Lenstra Stadion,Joey Kooij,3.20,4.00,2.00,4-2-3-1,4-3-3
2026-05-17,14:30,2025,Eredivisie,Sparta Rotterdam,Excelsior,Het Kasteel,Allard Lindhout,1.95,3.90,3.60,4-2-3-1,4-3-3
