date,time,season,league,home_team,away_team,venue,referee,odds_home,odds_draw,odds_away,home_formation,away_formation,formation_home_xg90,formation_away_xg90,fatigue_home,fatigue_away
2026-05-17,12:00,2025,Serie A,Roma,Lazio,Stadio Olimpico,Fabio Maresca,1.53,4.1,6.5,3-4-2-1,4-3-3,,,,
2026-05-17,12:00,2025,Serie A,Como,Parma,Stadio Giuseppe Sinigaglia,Luca Zufferli,1.25,5.5,13.0,4-2-3-1,3-5-2,,,,
2026-05-17,12:00,2025,Serie A,Genoa,Milan,Luigi Ferraris,Simone Sozza,5.0,3.75,1.7,4-3-2-1,3-5-2,,,,
2026-05-17,12:00,2025,Serie A,Juventus,Fiorentina,Allianz Stadium,Davide Massa,1.33,6.0,8.0,3-4-2-1,4-3-3,,,,
2026-05-17,12:00,2025,Serie A,Pisa,Napoli,Arena Garibaldi-Romeo Anconetani,Francesco Fourneau,9.5,4.33,1.4,3-5-2,3-4-3,,,,
