date,time,season,league,home_team,away_team,venue,referee,odds_home,odds_draw,odds_away,home_formation,away_formation
2026-05-17,15:30,2025,2. Bundesliga,Magdeburg,Kaiserslautern,Avnet Arena,Max Burda,1.60,4.50,4.50,4-3-3,3-4-2-1
2026-05-17,15:30,2025,2. Bundesliga,Bielefeld,Hertha BSC,Schuco-Arena,Konrad Oldhafer,1.80,3.80,4.00,4-3-3,4-2-3-1
2026-05-17,15:30,2025,2. Bundesliga,Darmstadt,Paderborn,Merck-Stadion am Bollenfalltor,Florian Badstubner,3.40,4.10,1.90,3-4-2-1,3-4-2-1
2026-05-17,15:30,2025,2. Bundesliga,Schalke,Braunschweig,Veltins-Arena,Robert Kampka,1.75,3.80,4.33,4-3-3,4-4-2
2026-05-17,15:30,2025,2. Bundesliga,Hannover,Nurnberg,Heinz-von-Heiden-Arena,Daniel Schlager,1.55,4.33,5.25,3-3-1-3,4-2-3-1
2026-05-17,15:30,2025,2. Bundesliga,Karlsruhe,Bochum,Wildparkstadion,Patrick Alt,2.40,3.75,2.50,3-5-2,4-2-3-1
2026-05-17,15:30,2025,2. Bundesliga,Dresden,Kiel,Rudolf-Harbig-Stadion,Marc Philip Eckermann,1.70,4.00,4.33,4-2-3-1,4-1-4-1
2026-05-17,15:30,2025,2. Bundesliga,Elversberg,Preussen Munster,Ursapharm-Arena an der Kaiserlinde,Timo Gerach,1.20,7.00,10.00,4-2-3-1,4-3-1-2
2026-05-17,15:30,2025,2. Bundesliga,Greuther Furth,Fortuna Dusseldorf,Sportpark Ronhof Thomas Sommer,Harm Osmers,2.15,3.70,3.10,3-4-2-1,4-2-3-1
