date,time,season,league,home_team,away_team,venue,referee,odds_home,odds_draw,odds_away,home_formation,away_formation
2026-05-17,16:00,2025,Premier League,Brentford,Crystal Palace,Brentford Community Stadium,Samuel Barrott,1.73,4.00,4.50,4-1-4-1,3-4-2-1
2026-05-17,16:00,2025,Premier League,Everton,Sunderland,Hill Dickinson Stadium,John Brooks,1.85,3.70,3.90,4-2-3-1,4-2-3-1
2026-05-17,16:00,2025,Premier League,Leeds,Brighton,Elland Road,Michael Oliver,3.40,3.60,2.05,3-5-2,4-2-3-1
2026-05-17,16:00,2025,Premier League,Wolves,Fulham,Molineux Stadium,Thomas Kirk,3.90,3.70,1.85,3-4-2-1,4-2-3-1
