date,time,season,league,home_team,away_team,venue,referee,odds_home,odds_draw,odds_away,home_formation,away_formation
2026-05-17,21:00,2025,Ligue 1,Lille,Auxerre,Decathlon Arena - Stade Pierre Mauroy,Willy Delajod,1.40,4.50,8.50,3-5-1-1,4-3-3
2026-05-17,21:00,2025,Ligue 1,Lorient,Le Havre,Stade Yves Allainmat-Le Moustoir,Clement Turpin,2.63,3.50,2.63,3-4-2-1,4-2-3-1
2026-05-17,21:00,2025,Ligue 1,Nantes,Toulouse,Stade de la Beaujoire,Stephanie Frappart,2.63,3.40,2.63,4-2-3-1,3-4-2-1
2026-05-17,21:00,2025,Ligue 1,Nice,Metz,Allianz Riviera,Jeremie Pignard,1.30,5.50,9.50,3-5-2,4-2-3-1
2026-05-17,21:00,2025,Ligue 1,Lyon,Lens,Groupama Stadium,Francois Letexier,1.67,4.10,4.50,4-2-3-1,3-4-2-1
2026-05-17,21:00,2025,Ligue 1,Marseille,Rennes,Orange Velodrome,Ruddy Buquet,2.05,4.00,3.20,4-2-3-1,4-3-3
2026-05-17,21:00,2025,Ligue 1,Paris FC,PSG,Stade Jean Bouin,Guillaume Paradis,4.50,4.50,1.62,4-2-3-1,4-3-3
2026-05-17,21:00,2025,Ligue 1,Strasbourg,Monaco,Stade de la Meinau,Benoit Bastien,3.00,4.00,2.10,4-2-3-1,3-4-2-1
2026-05-17,21:00,2025,Ligue 1,Brest,Angers,Stade Francis-Le Ble,Mathieu Vernice,1.85,3.60,4.10,4-3-3,3-5-2
