Date,HomeTeam,AwayTeam,B365>2.5,B365<2.5
27/11/2021,FC Koln,M'gladbach,1.57,2.37
27/11/2021,Greuther Furth,Hoffenheim,1.53,2.5
27/11/2021,Hertha,Augsburg,2.2,1.66
27/11/2021,Wolfsburg,Dortmund,1.89,2.04
27/11/2021,Bayern Munich,Bielefeld,1.22,4.33
28/11/2021,Ein Frankfurt,Union Berlin,1.97,1.96
28/11/2021,RB Leipzig,Leverkusen,1.53,2.5
03/12/2021,Union Berlin,RB Leipzig,1.72,2.1
04/12/2021,Augsburg,Bochum,2.04,1.86
04/12/2021,Bielefeld,FC Koln,1.87,2.03
04/12/2021,Hoffenheim,Ein Frankfurt,1.57,2.37
04/12/2021,Leverkusen,Greuther Furth,1.33,3.4
04/12/2021,Mainz,Wolfsburg,2.1,1.72
04/12/2021,Dortmund,Bayern Munich,1.33,3.4
05/12/2021,Stuttgart,Hertha,1.99,1.91
05/12/2021,M'gladbach,Freiburg,1.72,2.1
10/12/2021,FC Koln,Augsburg,1.72,2.1
11/12/2021,Bayern Munich,Mainz,1.33,3.4
11/12/2021,Bochum,Dortmund,1.44,2.75
11/12/2021,Freiburg,Hoffenheim,1.61,2.3
11/12/2021,Hertha,Bielefeld,2.0,1.8
11/12/2021,RB Leipzig,M'gladbach,1.53,2.5
11/12/2021,Wolfsburg,Stuttgart,1.94,1.99
12/12/2021,Greuther Furth,Union Berlin,1.72,2.1
12/12/2021,Ein Frankfurt,Leverkusen,1.57,2.37
14/12/2021,Stuttgart,Bayern Munich,1.36,3.2
14/12/2021,Bielefeld,Bochum,1.97,1.96
14/12/2021,Mainz,Hertha,2.04,1.89
14/12/2021,Wolfsburg,FC Koln,1.9,2.03
15/12/2021,M'gladbach,Ein Frankfurt,1.66,2.2
15/12/2021,Augsburg,RB Leipzig,1.61,2.3
15/12/2021,Dortmund,Greuther Furth,1.25,4.0
15/12/2021,Leverkusen,Hoffenheim,1.44,2.75
15/12/2021,Union Berlin,Freiburg,2.05,1.85
17/12/2021,Bayern Munich,Wolfsburg,1.3,3.5
18/12/2021,Bochum,Union Berlin,2.0,1.8
18/12/2021,Ein Frankfurt,Mainz,1.8,2.0
18/12/2021,Greuther Furth,Augsburg,1.96,1.94
18/12/2021,Hoffenheim,M'gladbach,1.5,2.62
18/12/2021,RB Leipzig,Bielefeld,1.53,2.5
18/12/2021,Hertha,Dortmund,1.57,2.37
19/12/2021,Freiburg,Leverkusen,1.66,2.2
19/12/2021,FC Koln,Stuttgart,1.61,2.3
07/01/2022,Bayern Munich,M'gladbach,1.28,3.75
08/01/2022,Freiburg,Bielefeld,2.0,1.9
08/01/2022,Greuther Furth,Stuttgart,1.87,2.03
08/01/2022,Hoffenheim,Augsburg,1.61,2.3
08/01/2022,Leverkusen,Union Berlin,1.72,2.1
08/01/2022,RB Leipzig,Mainz,1.72,2.1
08/01/2022,Ein Frankfurt,Dortmund,1.44,2.75
09/01/2022,Hertha,FC Koln,1.72,2.1
09/01/2022,Bochum,Wolfsburg,1.96,1.94
14/01/2022,Dortmund,Freiburg,1.4,3.0
15/01/2022,FC Koln,Bayern Munich,1.3,3.5
15/01/2022,Mainz,Bochum,2.0,1.9
