model_name,calibrated,accuracy,balanced_accuracy,log_loss,brier_score,avg_confidence,avg_correct_confidence,train_rows,test_rows,feature_count,selected_as_best,warnings
logistic_regression,False,0.4721311475409836,0.43965326139239186,1.0979797571648626,0.6501935319522862,0.6200586471525078,0.4299974023354043,905,305,86,False,
logistic_regression,True,0.5475409836065573,0.4690444820879603,0.9688598741600559,0.5816033663767038,0.5098999590684868,0.4108812565366243,905,305,86,False,
random_forest,False,0.5016393442622951,0.460217077608382,0.9681945981012763,0.5777090813289435,0.5161456043470696,0.4218926677627846,905,305,86,True,
random_forest,True,0.5278688524590164,0.46165589643850513,1.1644003748936138,0.5705506892508168,0.5611479705430404,0.44154895140165357,905,305,86,False,
gradient_boosting,False,0.5016393442622951,0.47041010519271387,1.0161902880798015,0.6070803922482416,0.607367088193047,0.4451600140609931,905,305,86,False,
gradient_boosting,True,0.5147540983606558,0.46601417905765735,1.103749737039709,0.596109504847925,0.5360255481032566,0.4136500764777927,905,305,86,False,
