date,home_team,away_team,league,season,source_file,xg_entry_status,home_xg,away_xg,xg_source_file,xg_source_schema
2024-09-14,RB Leipzig,Union Berlin,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,1.29462,0.859112,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-09-14,Wolfsburg,Ein Frankfurt,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,1.23249,2.86858,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-09-15,Augsburg,FC St Pauli,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,2.61475,0.49314,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-09-15,Mainz,Werder Bremen,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,1.67115,1.8089,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-09-20,Augsburg,Mainz,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,2.79562,1.25788,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-09-21,Bochum,Holstein Kiel,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,1.32383,2.26878,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-09-21,Ein Frankfurt,M'gladbach,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,2.93252,1.19669,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-09-21,FC Heidenheim,Freiburg,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,0.379656,1.23884,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-09-21,Union Berlin,Hoffenheim,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,1.21587,0.378776,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
2024-09-21,Werder Bremen,Bayern Munich,Bundesliga,2024,football_data_D1_2024_clean.csv,NEEDS_MANUAL_ENTRY,0.0,3.34451,understat_xg_bundesliga_2024_understat_alias_preview_understat_date_alignment_preview.csv,MATCH_PAIR_XG_SOURCE
