date,league,home_team,away_team,likely_1x2,confidence,model_home_prob,model_draw_prob,model_away_prob,odds_home,odds_draw,odds_away,control_10,chaos_10,over25_p,btts_p,data_ok,recommended_market_type,recommended_market_subtype,recommended_market_read,recommendation_strength,risk_note,league_profile,league_adjusted_strength,league_profile_note,league_warning_flags,league_preferred_subtype,league_suppressed_subtype,market_tier,market_tier_score,market_tier_reason,market_tier_flags
2026-05-17,EPL,Brentford,Crystal Palace,Home,LOW,0.4633,0.2652,0.2715,1.73,4.0,4.5,2.0,1.6,0.6,0.5,True,AVOID,AVOID_LOW_CONTROL,epl_low_control_unclear_game,LOW,epl_low_control,premier_league_balanced,HIGH,Premier League is balanced and competitive. DOUBLE_CHANCE and AVOID are well-supported. Standalone OVER_25 is weak; BTTS_OVER acceptable only with BTTS subtype. BOTH_OVER25_BTTS is unreliable.,,"DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","OVER_25, BOTH_OVER25_BTTS",B_TIER,70,"Adjusted strength HIGH, no warning, subtype not suppressed.",strength:HIGH
2026-05-17,EPL,Everton,Sunderland,Home,NO-CONFIDENCE,0.5464,0.2906,0.1629,1.85,3.7,3.9,3.2,2.9,0.2,0.4,False,AVOID,AVOID_VOLATILE,data_warning_reduces_1x2_confidence,LOW,data_warning,premier_league_balanced,HIGH,Premier League is balanced and competitive. DOUBLE_CHANCE and AVOID are well-supported. Standalone OVER_25 is weak; BTTS_OVER acceptable only with BTTS subtype. BOTH_OVER25_BTTS is unreliable.,,"DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","OVER_25, BOTH_OVER25_BTTS",B_TIER,70,"Adjusted strength HIGH, no warning, subtype not suppressed.",strength:HIGH
2026-05-17,EPL,Leeds,Brighton & Hove Albion,Away,LOW,0.2788,0.3317,0.3895,3.4,3.6,2.05,0.9,4.4,0.7,0.7,True,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,premier_league_balanced,SUPPRESSED,Premier League is balanced and competitive. DOUBLE_CHANCE and AVOID are well-supported. Standalone OVER_25 is weak; BTTS_OVER acceptable only with BTTS subtype. BOTH_OVER25_BTTS is unreliable.,Premier League: OVER_25 standalone and BOTH_OVER25_BTTS have poor evidence.,"DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","OVER_25, BOTH_OVER25_BTTS",HARD_NO_GO,5,Subtype BOTH_OVER25_BTTS has consistently poor walk-forward evidence across all leagues.,hard_nogo_subtype:BOTH_OVER25_BTTS
2026-05-17,EPL,Wolverhampton Wanderers,Fulham,Away,LOW,0.2299,0.2899,0.4802,3.9,3.7,1.85,2.2,1.7,0.6,0.6,True,AVOID,AVOID_LOW_CONTROL,epl_low_control_unclear_game,LOW,epl_low_control,premier_league_balanced,HIGH,Premier League is balanced and competitive. DOUBLE_CHANCE and AVOID are well-supported. Standalone OVER_25 is weak; BTTS_OVER acceptable only with BTTS subtype. BOTH_OVER25_BTTS is unreliable.,,"DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","OVER_25, BOTH_OVER25_BTTS",B_TIER,70,"Adjusted strength HIGH, no warning, subtype not suppressed.",strength:HIGH
