market,n,hit,hit_rate,profit,roi,avg_odds,max_dd,top3_wins,profit_ex_top3,roi_ex_top3,seasons,n_seasons,leagues,n_leagues,pattern,odds_band,reject
Home_win,93,39,41.9,-7.26,-7.8,2.26,-15.87,4.93,-12.19,-13.1,"[2021, 2022, 2023, 2024, 2025]",5,"['Ligue 1', 'Premier League', 'Serie A', 'Eredivisie', 'La Liga', '2. Bundesliga', 'Bundesliga', 'MLS']",8,form_mismatch_H,H_2.00-2.75,ROI=-7.8%<=0
Home_win,17,5,29.4,-2.47,-14.5,3.3,-5.0,5.9,-8.37,-49.2,"[2022, 2023, 2024]",3,"['La Liga', 'Bundesliga', 'Premier League', 'Serie A', 'Eredivisie', 'Ligue 1', '2. Bundesliga']",7,form_mismatch_H,H_2.75+,n=17<50
Home_win,710,464,65.4,-18.18,-2.6,1.6,-27.77,5.9,-24.08,-3.4,"[2021, 2022, 2023, 2024, 2025]",5,"['Bundesliga', 'Premier League', 'Ligue 1', 'Serie A', 'La Liga', '2. Bundesliga', 'Eredivisie', 'MLS']",8,form_mismatch_H,H_any,ROI=-2.6%<=0
Draw,159,38,23.9,-26.9,-16.9,3.49,-34.0,8.25,-35.15,-22.1,"[2021, 2022, 2023, 2024, 2025]",5,"['Ligue 1', '2. Bundesliga', 'Premier League', 'La Liga', 'Bundesliga', 'Eredivisie', 'Serie A', 'MLS']",8,form_mismatch_H,D_3.20-3.80,ROI=-16.9%<=0
Draw,176,44,25.0,0.98,0.6,4.05,-18.8,10.11,-9.13,-5.2,"[2021, 2022, 2023, 2024, 2025]",5,"['Bundesliga', 'Premier League', 'La Liga', 'Eredivisie', '2. Bundesliga', 'Serie A', 'Ligue 1', 'MLS']",8,form_mismatch_H,D_3.80-4.50,profit_ex_top3<=0
Draw,152,24,15.8,-35.95,-23.7,4.83,-46.75,12.75,-48.7,-32.0,"[2021, 2022, 2023, 2024, 2025]",5,"['La Liga', 'Premier League', 'Ligue 1', 'Serie A', 'Bundesliga', '2. Bundesliga', 'Eredivisie', 'MLS']",8,form_mismatch_H,D_4.50-5.50,ROI=-23.7%<=0
Draw,219,28,12.8,-35.25,-16.1,7.55,-51.25,22.5,-57.75,-26.4,"[2021, 2022, 2023, 2024, 2025]",5,"['Bundesliga', 'Premier League', 'Serie A', 'Eredivisie', 'La Liga', 'Ligue 1', 'MLS', '2. Bundesliga']",8,form_mismatch_H,D_5.50+,ROI=-16.1%<=0
Draw,710,134,18.9,-101.12,-14.2,5.17,-106.67,22.5,-123.62,-17.4,"[2021, 2022, 2023, 2024, 2025]",5,"['Bundesliga', 'Premier League', 'Ligue 1', 'Serie A', 'La Liga', '2. Bundesliga', 'Eredivisie', 'MLS']",8,form_mismatch_H,D_any,ROI=-14.2%<=0
Away_win,13,8,61.5,3.9,30.0,2.15,-2.0,3.7,0.2,1.5,"[2022, 2023, 2024]",3,"['Bundesliga', 'Premier League', 'Serie A', 'Eredivisie', 'Ligue 1', '2. Bundesliga']",6,form_mismatch_H,A_1.80-2.50,n=13<50
Away_win,120,37,30.8,-0.63,-0.5,3.27,-18.55,8.45,-9.08,-7.6,"[2021, 2022, 2023, 2024, 2025]",5,"['Ligue 1', '2. Bundesliga', 'Premier League', 'Eredivisie', 'Bundesliga', 'La Liga', 'Serie A', 'MLS']",8,form_mismatch_H,A_2.50-4.00,ROI=-0.5%<=0
Away_win,576,67,11.6,-136.59,-23.7,9.01,-172.02,43.0,-179.59,-31.2,"[2021, 2022, 2023, 2024, 2025]",5,"['Bundesliga', 'Premier League', 'Serie A', 'La Liga', 'Eredivisie', 'Ligue 1', '2. Bundesliga', 'MLS']",8,form_mismatch_H,A_4.00+,ROI=-23.7%<=0
