league,season,date,home_team,away_team,odds_home,odds_draw,odds_away,control_score_10,chaos_score_10,likely_1x2,confidence,model_home_prob,model_draw_prob,model_away_prob,over25_signal,btts_signal,both_over,both_btts,data_warning,probability_profile,home_stats_n,away_stats_n,home_ppg,away_ppg,home_over25_rate,away_over25_rate,home_btts_rate,away_btts_rate,mode,matchday,cutoff_date,train_rows,test_group_size,model_name,model_trained_ok,model_error,recommended_market_type,recommended_market_subtype,recommended_market_read,recommendation_strength,risk_note,league_profile,league_adjusted_strength,league_profile_note,league_warning_flags,league_preferred_subtype,league_suppressed_subtype,market_tier,market_tier_score,market_tier_reason,market_tier_flags,market_tier_score_league_relative,actual_result,actual_home_goals,actual_away_goals,actual_total_goals,actual_over25,actual_under25,actual_under35,actual_btts,type_success,subtype_success,month,odds_bucket,ctrl_bucket,chaos_bucket,fav_side,season_phase
Bundesliga,2024,2025-01-11,Heidenheim,Union Berlin,3.1,3.3,2.3,4.67,3.99,Away,MEDIUM,0.0105,0.0001,0.9895,unclear,unclear,False,False,False,,10,10,0.1,0.8,0.6,0.5,0.5,0.5,walk_forward,2025-01-11,2025-01-11,136,6,logistic_regression,True,,DOUBLE_CHANCE,DOUBLE_CHANCE_X2,away_or_draw_X2,MEDIUM,favorite_direction_but_control_below_hard_1x2,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,B_TIER,68,"Adjusted strength MEDIUM, no warning, subtype not suppressed.",strength:MEDIUM,-0.42,H,2.0,0.0,2.0,0,1,1,0,False,False,2025-01,medium_fav (2.0-2.5),low (3-5),low (<4),AWAY_FAVORITE,mid
Bundesliga,2024,2025-01-11,Hoffenheim,Wolfsburg,2.35,3.6,2.88,4.45,4.7,Away,MEDIUM,0.161,0.0001,0.839,unclear,BTTS YES likely,False,True,False,,10,10,1.1,1.7,0.3,0.7,0.6,0.8,walk_forward,2025-01-11,2025-01-11,136,6,logistic_regression,True,,AVOID,AVOID_VOLATILE,model_market_disagreement_low_control,LOW,disagreement_plus_low_control,unknown_league,LOW,No league-specific profile available. Standard cross-league rules apply.,,,,C_TIER,45,Neutral conviction — no strong signal in either direction.,strength:LOW,-2.77,A,0.0,1.0,1.0,0,1,1,0,False,,2025-01,medium_fav (2.0-2.5),low (3-5),medium (4-6),HOME_FAVORITE,mid
Bundesliga,2024,2025-01-11,Mainz,Bochum,1.53,4.33,5.75,7.06,3.4,Away,MEDIUM,0.4704,0.0001,0.5294,unclear,unclear,False,False,False,,10,10,2.0,0.7,0.6,0.4,0.5,0.4,walk_forward,2025-01-11,2025-01-11,136,6,logistic_regression,True,,OBSERVE_ONLY,NONE,mixed_signal_observe,LOW,diagnostic_only,unknown_league,LOW,No league-specific profile available. Standard cross-league rules apply.,,,,OBSERVE_ONLY,20,Market type is OBSERVE_ONLY — insufficient signal for classification.,observe_only_type,-5.32,H,2.0,0.0,2.0,0,1,1,0,,,2025-01,strong_fav (1.5-2.0),high (7-10),low (<4),HOME_FAVORITE,mid
Bundesliga,2024,2025-01-11,St Pauli,Ein Frankfurt,3.7,3.5,2.05,5.05,4.34,Away,MEDIUM,0.0673,0.0001,0.9325,OVER likely,unclear,False,False,False,,10,10,1.0,1.5,0.4,0.8,0.3,0.8,walk_forward,2025-01-11,2025-01-11,136,6,logistic_regression,True,,BTTS_OVER,OVER_25,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,DOWNGRADE,44,Over_25 in bundesliga is outside goal-friendly context.,over25_non_goal_friendly_league,-2.87,A,0.0,1.0,1.0,0,1,1,0,False,False,2025-01,medium_fav (2.0-2.5),medium (5-7),medium (4-6),AWAY_FAVORITE,mid
Bundesliga,2024,2025-01-11,M'gladbach,Bayern Munich,7.0,5.0,1.4,6.57,4.9,Away,MEDIUM,0.188,0.0002,0.8118,OVER likely,BTTS YES likely,False,False,False,,10,10,1.8,2.3,0.6,0.8,0.8,0.5,walk_forward,2025-01-11,2025-01-11,136,6,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,HARD_NO_GO,20,BOTH_OVER25_BTTS: permanent HARD_NO_GO (48.7% historical),SUBTYPE_SUPPRESSED,-5.32,A,0.0,1.0,1.0,0,1,1,0,False,False,2025-01,heavy_fav (<=1.5),medium (5-7),medium (4-6),AWAY_FAVORITE,mid
Bundesliga,2024,2025-01-12,Augsburg,Stuttgart,3.6,3.6,2.0,4.97,4.65,Away,MEDIUM,0.2709,0.0002,0.7289,unclear,BTTS YES likely,False,True,False,,10,10,1.2,1.5,0.6,0.6,0.6,0.6,walk_forward,2025-01-12,2025-01-12,142,2,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,DOWNGRADE,44,Btts has weak cross-league evidence.,downgrade_subtype:BTTS,-2.87,A,0.0,1.0,1.0,0,1,1,0,False,False,2025-01,strong_fav (1.5-2.0),low (3-5),medium (4-6),AWAY_FAVORITE,mid
Bundesliga,2024,2025-01-12,RB Leipzig,Werder Bremen,1.75,4.0,4.2,5.35,4.2,Home,MEDIUM,0.7605,0.0004,0.2391,unclear,BTTS YES likely,False,True,False,,10,10,1.6,1.7,0.6,0.6,0.6,0.6,walk_forward,2025-01-12,2025-01-12,142,2,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,DOWNGRADE,44,Btts has weak cross-league evidence.,downgrade_subtype:BTTS,-2.87,H,4.0,2.0,6.0,1,0,0,1,True,True,2025-01,strong_fav (1.5-2.0),medium (5-7),medium (4-6),HOME_FAVORITE,mid
Bundesliga,2024,2025-01-14,Ein Frankfurt,Freiburg,1.7,4.2,4.33,5.57,5.05,Home,MEDIUM,0.5665,0.0113,0.4223,OVER likely,BTTS YES likely,True,True,False,,10,10,1.7,1.5,0.7,0.7,0.7,0.7,walk_forward,2025-01-14,2025-01-14,144,4,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,LOW,goals_signal_with_control_not_required,unknown_league,LOW,No league-specific profile available. Standard cross-league rules apply.,,,,HARD_NO_GO,20,BOTH_OVER25_BTTS: permanent HARD_NO_GO (48.7% historical),SUBTYPE_SUPPRESSED,-5.32,H,4.0,1.0,5.0,1,0,0,1,True,True,2025-01,strong_fav (1.5-2.0),medium (5-7),medium (4-6),HOME_FAVORITE,mid
Bundesliga,2024,2025-01-14,Leverkusen,Mainz,1.36,5.25,7.5,6.56,4.55,Home,MEDIUM,0.7617,0.1999,0.0384,unclear,BTTS YES likely,False,False,False,,10,10,2.4,2.0,0.7,0.5,0.8,0.5,walk_forward,2025-01-14,2025-01-14,144,4,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,DOWNGRADE,44,Btts has weak cross-league evidence.,downgrade_subtype:BTTS,-2.87,H,1.0,0.0,1.0,0,1,1,0,False,False,2025-01,heavy_fav (<=1.5),medium (5-7),medium (4-6),HOME_FAVORITE,mid
Bundesliga,2024,2025-01-14,Holstein Kiel,Dortmund,5.25,4.5,1.55,6.62,5.0,Draw,MEDIUM,0.1063,0.6756,0.2181,OVER likely,BTTS YES likely,True,True,False,,10,10,0.6,1.5,0.7,0.7,0.6,0.9,walk_forward,2025-01-14,2025-01-14,144,4,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,HARD_NO_GO,20,BOTH_OVER25_BTTS: permanent HARD_NO_GO (48.7% historical),SUBTYPE_SUPPRESSED,-5.32,H,4.0,2.0,6.0,1,0,0,1,True,True,2025-01,strong_fav (1.5-2.0),medium (5-7),medium (4-6),AWAY_FAVORITE,mid
