league,season,date,home_team,away_team,odds_home,odds_draw,odds_away,control_score_10,chaos_score_10,likely_1x2,confidence,model_home_prob,model_draw_prob,model_away_prob,over25_signal,btts_signal,both_over,both_btts,data_warning,probability_profile,home_stats_n,away_stats_n,home_ppg,away_ppg,home_over25_rate,away_over25_rate,home_btts_rate,away_btts_rate,mode,matchday,cutoff_date,train_rows,test_group_size,model_name,model_trained_ok,model_error,recommended_market_type,recommended_market_subtype,recommended_market_read,recommendation_strength,risk_note,league_profile,league_adjusted_strength,league_profile_note,league_warning_flags,league_preferred_subtype,league_suppressed_subtype,market_tier,market_tier_score,market_tier_reason,market_tier_flags,market_tier_score_league_relative,actual_result,actual_home_goals,actual_away_goals,actual_total_goals,actual_over25,actual_under25,actual_under35,actual_btts,type_success,subtype_success,month,odds_bucket,ctrl_bucket,chaos_bucket,fav_side,season_phase
Ligue 1,2024,2024-12-01,Lyon,Nice,1.91,3.8,3.7,4.88,4.42,Home,MEDIUM,0.6642,0.2678,0.068,unclear,BTTS YES likely,False,True,False,,10,10,1.9,1.9,0.5,0.5,0.6,0.6,walk_forward,2024-12-01,2024-12-01,112,5,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,ligue1_cautious,MEDIUM,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",DOWNGRADE,44,Btts has weak cross-league evidence.,downgrade_subtype:BTTS,-2.45,H,4.0,1.0,5.0,1,0,0,1,True,True,2024-12,strong_fav (1.5-2.0),low (3-5),medium (4-6),HOME_FAVORITE,mid
Ligue 1,2024,2024-12-06,Lille,Brest,1.65,3.6,6.0,5.88,4.33,Home,MEDIUM,0.9912,0.0067,0.0021,unclear,unclear,False,False,False,,10,10,1.7,1.3,0.5,0.6,0.5,0.6,walk_forward,2024-12-06,2024-12-06,117,2,logistic_regression,True,,OBSERVE_ONLY,NONE,mixed_signal_observe,LOW,diagnostic_only,ligue1_cautious,LOW,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",OBSERVE_ONLY,20,Market type is OBSERVE_ONLY — insufficient signal for classification.,observe_only_type,-4.73,H,3.0,1.0,4.0,1,0,0,1,,,2024-12,strong_fav (1.5-2.0),medium (5-7),medium (4-6),HOME_FAVORITE,mid
Ligue 1,2024,2024-12-06,Auxerre,Paris SG,9.0,5.75,1.3,7.1,4.65,Away,HIGH,0.0164,0.1641,0.8195,OVER likely,BTTS YES likely,False,False,False,,10,10,1.6,2.4,0.8,0.6,0.5,0.7,walk_forward,2024-12-06,2024-12-06,117,2,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,ligue1_cautious,SUPPRESSED,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,Ligue 1: goals subtypes have weak evidence in this league.,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",HARD_NO_GO,5,BOTH_OVER25_BTTS: permanent HARD_NO_GO (48.7% historical),SUBTYPE_SUPPRESSED,-6.16,D,0.0,0.0,0.0,0,1,1,0,False,False,2024-12,heavy_fav (<=1.5),high (7-10),medium (4-6),AWAY_FAVORITE,mid
Ligue 1,2024,2024-12-07,Monaco,Toulouse,1.7,3.8,5.0,5.67,3.88,Away,MEDIUM,0.3873,0.1115,0.5011,OVER likely,unclear,False,False,False,,10,10,1.9,1.6,0.8,0.4,0.7,0.3,walk_forward,2024-12-07,2024-12-07,119,3,logistic_regression,True,,BTTS_OVER,OVER_25,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,ligue1_cautious,SUPPRESSED,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,Ligue 1: goals subtypes have weak evidence in this league.,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",HARD_NO_GO,10,SUPPRESSED league_adjusted_strength combined with active warning flag.,suppressed_strength | warning_flag,-5.69,H,2.0,0.0,2.0,0,1,1,0,False,False,2024-12,strong_fav (1.5-2.0),medium (5-7),low (<4),HOME_FAVORITE,mid
Ligue 1,2024,2024-12-07,Nice,Le Havre,1.6,3.75,6.0,6.6,3.12,Home,MEDIUM,0.5544,0.0948,0.3508,unclear,unclear,False,False,False,,10,10,1.6,0.6,0.5,0.4,0.6,0.1,walk_forward,2024-12-07,2024-12-07,119,3,logistic_regression,True,,DIRECTION,DIRECTION_HOME,home_direction,MEDIUM,ligue1_home_favorite_medium_control,ligue1_cautious,MEDIUM,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,Ligue 1: DIRECTION type has historically poor accuracy — consider OBSERVE_ONLY.,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",HARD_NO_GO,24,Ligue 1 DIRECTION type has historically poor accuracy (walk-forward evidence).,ligue1_direction,-4.35,H,2.0,1.0,3.0,1,0,1,1,True,True,2024-12,strong_fav (1.5-2.0),medium (5-7),low (<4),HOME_FAVORITE,mid
Ligue 1,2024,2024-12-07,Angers,Lyon,5.0,4.0,1.67,6.04,4.15,Draw,MEDIUM,0.0105,0.5926,0.3969,unclear,BTTS YES likely,False,True,False,,10,10,1.3,1.9,0.3,0.5,0.7,0.6,walk_forward,2024-12-07,2024-12-07,119,3,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,ligue1_cautious,MEDIUM,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",DOWNGRADE,44,Btts has weak cross-league evidence.,downgrade_subtype:BTTS,-2.45,A,0.0,3.0,3.0,1,0,1,0,True,False,2024-12,strong_fav (1.5-2.0),medium (5-7),medium (4-6),AWAY_FAVORITE,mid
Ligue 1,2024,2024-12-08,Lens,Montpellier,1.36,5.25,7.5,6.76,3.78,Home,MEDIUM,0.8564,0.084,0.0596,unclear,unclear,False,False,False,,10,10,1.3,0.7,0.3,0.8,0.4,0.5,walk_forward,2024-12-08,2024-12-08,122,4,logistic_regression,True,,DIRECTION,DIRECTION_HOME,home_direction,MEDIUM,ligue1_home_favorite_medium_control,ligue1_cautious,MEDIUM,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,Ligue 1: DIRECTION type has historically poor accuracy — consider OBSERVE_ONLY.,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",HARD_NO_GO,24,Ligue 1 DIRECTION type has historically poor accuracy (walk-forward evidence).,ligue1_direction,-4.35,H,2.0,0.0,2.0,0,1,1,0,True,True,2024-12,heavy_fav (<=1.5),medium (5-7),low (<4),HOME_FAVORITE,mid
Ligue 1,2024,2024-12-08,Strasbourg,Reims,2.38,3.3,3.0,4.28,5.29,Away,MEDIUM,0.3997,0.074,0.5262,OVER likely,BTTS YES likely,False,True,False,,10,10,0.9,1.4,0.7,0.6,0.8,0.7,walk_forward,2024-12-08,2024-12-08,122,4,logistic_regression,True,,AVOID,AVOID_VOLATILE,model_market_disagreement_low_control,LOW,disagreement_plus_low_control,ligue1_cautious,HIGH,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",B_TIER,70,"Adjusted strength HIGH, no warning, subtype not suppressed.",strength:HIGH,0.03,D,0.0,0.0,0.0,0,1,1,0,True,,2024-12,medium_fav (2.0-2.5),low (3-5),medium (4-6),HOME_FAVORITE,mid
Ligue 1,2024,2024-12-08,St Etienne,Marseille,5.25,3.9,1.65,6.08,3.69,Away,MEDIUM,0.1683,0.026,0.8057,unclear,unclear,False,False,False,,10,10,1.3,1.9,0.5,0.7,0.3,0.6,walk_forward,2024-12-08,2024-12-08,122,4,logistic_regression,True,,DOUBLE_CHANCE,DOUBLE_CHANCE_X2,away_or_draw_X2,MEDIUM,favorite_direction_but_control_below_hard_1x2,ligue1_cautious,HIGH,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",B_TIER,74,"HIGH adjusted strength + preferred subtype (DOUBLE_CHANCE_X2) + clean signal (no warning, chaos within range). [LIGUE1_CAP: A_TIER→B_TIER]",high_strength | preferred_subtype:DOUBLE_CHANCE_X2 | chaos_low,0.41,A,0.0,2.0,2.0,0,1,1,0,True,True,2024-12,strong_fav (1.5-2.0),medium (5-7),low (<4),AWAY_FAVORITE,mid
Ligue 1,2024,2024-12-08,Nantes,Rennes,3.0,3.25,2.4,4.43,4.43,Home,MEDIUM,0.5159,0.0213,0.4628,unclear,BTTS YES likely,False,False,False,,10,10,0.4,1.1,0.5,0.5,0.8,0.4,walk_forward,2024-12-08,2024-12-08,122,4,logistic_regression,True,,AVOID,AVOID_VOLATILE,model_market_disagreement_low_control,LOW,disagreement_plus_low_control,ligue1_cautious,HIGH,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",B_TIER,70,"Adjusted strength HIGH, no warning, subtype not suppressed.",strength:HIGH,0.03,H,1.0,0.0,1.0,0,1,1,0,False,,2024-12,medium_fav (2.0-2.5),low (3-5),medium (4-6),AWAY_FAVORITE,mid
