league,season,date,home_team,away_team,odds_home,odds_draw,odds_away,control_score_10,chaos_score_10,likely_1x2,confidence,model_home_prob,model_draw_prob,model_away_prob,over25_signal,btts_signal,both_over,both_btts,data_warning,probability_profile,home_stats_n,away_stats_n,home_ppg,away_ppg,home_over25_rate,away_over25_rate,home_btts_rate,away_btts_rate,mode,matchday,cutoff_date,train_rows,test_group_size,model_name,model_trained_ok,model_error,recommended_market_type,recommended_market_subtype,recommended_market_read,recommendation_strength,risk_note,league_profile,league_adjusted_strength,league_profile_note,league_warning_flags,league_preferred_subtype,league_suppressed_subtype,market_tier,market_tier_score,market_tier_reason,market_tier_flags,market_tier_score_league_relative,actual_result,actual_home_goals,actual_away_goals,actual_total_goals,actual_over25,actual_under25,actual_under35,actual_btts,type_success,subtype_success,month,odds_bucket,ctrl_bucket,chaos_bucket,fav_side,season_phase
Eredivisie,2024,2025-03-30,Heracles,Twente,3.9,3.9,1.8,5.23,4.19,Draw,MEDIUM,0.0865,0.5775,0.336,unclear,BTTS YES likely,False,True,False,,10,10,1.4,1.5,0.3,0.5,0.7,0.6,walk_forward,2025-03-30,2025-03-30,237,4,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,league_goal_profile_supports_signal,eredivisie_goals,HIGH,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,B_TIER,70,"Adjusted strength HIGH, no warning, subtype not suppressed.",strength:HIGH,-0.14,H,2.0,1.0,3.0,1,0,1,1,True,True,2025-03,strong_fav (1.5-2.0),medium (5-7),medium (4-6),AWAY_FAVORITE,late
Eredivisie,2024,2025-04-01,AZ Alkmaar,Waalwijk,1.3,5.75,8.0,6.8,3.85,Home,MEDIUM,0.7942,0.1634,0.0424,unclear,unclear,False,False,False,,10,10,1.6,1.1,0.5,0.5,0.5,0.5,walk_forward,2025-04-01,2025-04-01,241,1,logistic_regression,True,,DOUBLE_CHANCE,DOUBLE_CHANCE_1X,home_or_draw_1X,MEDIUM,favorite_direction_but_control_below_hard_1x2,eredivisie_goals,HIGH,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,A_TIER,93,"HIGH adjusted strength + preferred subtype (DOUBLE_CHANCE_1X) + clean signal (no warning, chaos within range).",high_strength | preferred_subtype:DOUBLE_CHANCE_1X | chaos_low,2.14,D,2.0,2.0,4.0,1,0,0,1,True,True,2025-04,heavy_fav (<=1.5),medium (5-7),low (<4),HOME_FAVORITE,late
Eredivisie,2024,2025-04-02,Feyenoord,Groningen,1.38,5.0,7.0,6.21,4.25,Home,MEDIUM,0.5168,0.2848,0.1984,unclear,BTTS YES likely,False,True,False,,10,10,1.5,1.6,0.7,0.3,0.6,0.6,walk_forward,2025-04-02,2025-04-02,242,1,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,league_goal_profile_supports_signal,eredivisie_goals,HIGH,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,B_TIER,70,"Adjusted strength HIGH, no warning, subtype not suppressed.",strength:HIGH,-0.14,H,4.0,1.0,5.0,1,0,0,1,True,True,2025-04,heavy_fav (<=1.5),medium (5-7),medium (4-6),HOME_FAVORITE,late
Eredivisie,2024,2025-04-04,Heerenveen,Willem II,1.45,4.5,7.0,6.75,3.98,Draw,MEDIUM,0.1791,0.8192,0.0016,unclear,BTTS YES likely,False,False,False,,10,10,1.0,0.2,0.5,0.4,0.7,0.5,walk_forward,2025-04-04,2025-04-04,243,1,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,league_goal_profile_supports_signal,eredivisie_goals,HIGH,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,B_TIER,74,"Adjusted strength HIGH, no warning, subtype not suppressed.",strength:HIGH,0.26,H,3.0,1.0,4.0,1,0,0,1,True,True,2025-04,heavy_fav (<=1.5),medium (5-7),low (<4),HOME_FAVORITE,late
Eredivisie,2024,2025-04-05,Almere City,Zwolle,2.25,3.5,3.1,4.38,3.51,Away,MEDIUM,0.1748,0.2745,0.5507,unclear,unclear,False,False,False,,10,10,0.9,1.2,0.3,0.4,0.4,0.6,walk_forward,2025-04-05,2025-04-05,244,4,logistic_regression,True,,AVOID,AVOID_VOLATILE,model_market_disagreement_low_control,LOW,disagreement_plus_low_control,eredivisie_goals,HIGH,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,B_TIER,74,"Adjusted strength HIGH, no warning, subtype not suppressed.",strength:HIGH,0.26,D,2.0,2.0,4.0,1,0,0,1,True,,2025-04,medium_fav (2.0-2.5),low (3-5),low (<4),HOME_FAVORITE,late
Eredivisie,2024,2025-04-05,AZ Alkmaar,Feyenoord,2.38,3.6,2.8,4.18,5.17,Draw,MEDIUM,0.2253,0.7473,0.0274,OVER likely,BTTS YES likely,False,True,False,,10,10,1.4,1.8,0.6,0.7,0.6,0.7,walk_forward,2025-04-05,2025-04-05,244,4,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,LOW,league_goal_profile_supports_signal,eredivisie_goals,SUPPRESSED,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",Eredivisie: BOTH_OVER25_BTTS unreliable even in goals league.,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,HARD_NO_GO,5,BOTH_OVER25_BTTS: permanent HARD_NO_GO (48.7% historical),SUBTYPE_SUPPRESSED,-6.57,A,0.0,1.0,1.0,0,1,1,0,False,False,2025-04,medium_fav (2.0-2.5),low (3-5),medium (4-6),HOME_FAVORITE,late
Eredivisie,2024,2025-04-05,Twente,For Sittard,1.4,4.75,7.5,6.87,4.15,Home,MEDIUM,0.6436,0.3488,0.0076,unclear,unclear,False,False,False,,10,10,1.5,0.7,0.6,0.6,0.7,0.4,walk_forward,2025-04-05,2025-04-05,244,4,logistic_regression,True,,OBSERVE_ONLY,NONE,mixed_signal_observe,LOW,diagnostic_only,eredivisie_goals,LOW,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,OBSERVE_ONLY,20,Market type is OBSERVE_ONLY — insufficient signal for classification.,observe_only_type,-5.09,D,1.0,1.0,2.0,0,1,1,1,,,2025-04,heavy_fav (<=1.5),medium (5-7),medium (4-6),HOME_FAVORITE,late
Eredivisie,2024,2025-04-05,Groningen,PSV Eindhoven,7.0,5.0,1.4,6.27,5.05,Draw,MEDIUM,0.2412,0.6114,0.1474,OVER likely,BTTS YES likely,False,True,False,,10,10,1.5,1.3,0.4,0.8,0.7,0.8,walk_forward,2025-04-05,2025-04-05,244,4,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,LOW,league_goal_profile_supports_signal,eredivisie_goals,SUPPRESSED,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",Eredivisie: BOTH_OVER25_BTTS unreliable even in goals league.,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,HARD_NO_GO,5,BOTH_OVER25_BTTS: permanent HARD_NO_GO (48.7% historical),SUBTYPE_SUPPRESSED,-6.57,A,1.0,3.0,4.0,1,0,0,1,True,True,2025-04,heavy_fav (<=1.5),medium (5-7),medium (4-6),AWAY_FAVORITE,late
Eredivisie,2024,2025-04-06,Ajax,NAC Breda,1.25,6.25,10.0,8.42,3.5,Home,HIGH,0.7213,0.2415,0.0371,unclear,unclear,False,False,False,,10,10,2.8,0.8,0.4,0.4,0.3,0.7,walk_forward,2025-04-06,2025-04-06,248,4,logistic_regression,True,,DIRECTION,DIRECTION_HOME,home_direction,HIGH,higher_control_lower_chaos_direction,eredivisie_goals,HIGH,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,B_TIER,74,"Adjusted strength HIGH, no warning, subtype not suppressed.",strength:HIGH,0.26,H,3.0,1.0,4.0,1,0,0,1,True,True,2025-04,heavy_fav (<=1.5),high (7-10),low (<4),HOME_FAVORITE,late
Eredivisie,2024,2025-04-06,Sparta Rotterdam,Nijmegen,2.0,3.5,3.7,4.97,4.39,Away,MEDIUM,0.1294,0.0276,0.843,unclear,unclear,False,False,False,,10,10,1.6,1.3,0.4,0.6,0.5,0.6,walk_forward,2025-04-06,2025-04-06,248,4,logistic_regression,True,,AVOID,AVOID_VOLATILE,model_market_disagreement_low_control,LOW,disagreement_plus_low_control,eredivisie_goals,HIGH,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,B_TIER,70,"Adjusted strength HIGH, no warning, subtype not suppressed.",strength:HIGH,-0.14,H,2.0,0.0,2.0,0,1,1,0,True,,2025-04,strong_fav (1.5-2.0),low (3-5),medium (4-6),HOME_FAVORITE,late
